date,ticker,pe,source,source_url,snapshot_fetched_at
2018-02-28,QQQ,26.17,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2018-03-31,QQQ,25.13,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2018-04-30,QQQ,23.75,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2018-05-31,QQQ,25.06,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2018-06-30,QQQ,25.32,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2018-07-31,QQQ,23.86,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2018-08-31,QQQ,25.25,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2018-09-30,QQQ,25.17,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2018-10-31,QQQ,21.66,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2018-11-30,QQQ,21.61,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2018-12-31,QQQ,17.5,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-01-31,QQQ,19.1,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-02-28,QQQ,19.62,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-03-31,QQQ,20.4,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-04-30,QQQ,21.46,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-05-31,QQQ,19.66,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-06-30,QQQ,21.16,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-07-31,QQQ,21.69,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-08-31,QQQ,21.25,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-09-30,QQQ,21.55,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-10-31,QQQ,22.48,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-11-30,QQQ,23.37,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2019-12-31,QQQ,22.89,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-01-31,QQQ,23.57,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-02-29,QQQ,22.18,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-03-31,QQQ,21.03,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-04-30,QQQ,24.22,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-05-31,QQQ,25.71,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-06-30,QQQ,27.85,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-07-31,QQQ,29.9,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-08-31,QQQ,33.2,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-09-30,QQQ,31.56,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-10-31,QQQ,30.55,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-11-30,QQQ,33.91,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2020-12-31,QQQ,32.9,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2021-01-31,QQQ,33.0,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
